celltype,AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
qNSC,AAV9K449R_PHP.S,3,2.473746625056862e-5,1.8814159495984714e-5,1.8601537229856637e-5,1.4179413699372034e-5,3.2227554291409214e-5
qNSC,AAV9wt,3,2.2183714155632557e-5,1.7024525268963086e-5,1.7019561526459914e-5,1.2679377234284244e-5,2.910597476239455e-5
qNSC,AAVAH3-3,3,1.9431746135352773e-5,1.815572443686605e-5,1.1427491960414432e-5,9.040520701722206e-6,2.582084448151417e-5
qNSC,AAV8_P4,3,1.9102431290512453e-5,2.3421391432411137e-5,6.32473160258115e-6,5.586797989129446e-6,2.622921474792981e-5
qNSC,AAVAH4-1,3,1.64689088627507e-5,1.815842179779857e-5,6.281512824985241e-6,5.986522636711193e-6,2.1857597069907476e-5
qNSC,AAVJEA2-D7,3,1.6046351596140235e-5,2.3533120273887326e-5,5.07758962669878e-6,2.53879481334939e-6,2.406952739421035e-5
qNSC,AAV1_A6,3,1.5194832683460793e-5,6.982845119338326e-6,1.551465388871842e-5,1.1786113030076506e-5,1.8763462939473895e-5
qNSC,AAVpo1_P4,3,1.5060677490804802e-5,1.2576240144487042e-5,1.0226027537706709e-5,7.922608707523503e-6,1.9781421297537054e-5
qNSC,AAVAH3-N4,3,1.3699163447017584e-5,1.0559215935433056e-5,1.183150934957643e-5,8.014948361976313e-6,1.8449551483338277e-5
qNSC,AAVDJYF,3,1.3168166332399766e-5,1.1193577908475138e-5,9.406139078311059e-6,6.873185931359322e-6,1.7582133106395855e-5
qNSC,AAV9BI,3,1.1147780432044107e-5,1.3779435027935451e-5,3.501124048856477e-6,3.19419374680627e-6,1.527803892568813e-5
qNSC,AAV5_P5,3,1.001696370666921e-5,7.4271012862400544e-6,8.229712578161737e-6,5.938135865074483e-6,1.32021659840102e-5
qNSC,AAV8_P5,3,8.998102420525097e-6,1.0344135725652715e-5,3.089234561626971e-6,3.0260243795189702e-6,1.201574653208216e-5
qNSC,AAV3_P4,3,8.820885926112422e-6,1.1102827083289694e-5,4.742367249564078e-6,2.5382477709662198e-6,1.3064264742984453e-5
qNSC,AAVrh10_P4,3,8.553808631993189e-6,3.907190132251342e-6,8.423795857411966e-6,6.568521704904999e-6,1.0474089171790769e-5
qNSC,AAVAH4-3,3,7.216745954365759e-6,8.83186414012239e-6,2.31210668007247e-6,2.11888723926863e-6,9.862285032316244e-6
qNSC,AAV5_A1,3,6.61932036430799e-6,9.638181784290613e-6,2.180884229106053e-6,1.0904421145530266e-6,9.928980546461984e-6
qNSC,AAVJEA3-S8,3,6.383457045804786e-6,6.912314840426756e-6,2.6173732158806865e-6,2.3947014447217897e-6,8.489170731925733e-6
qNSC,AAV8_A2,3,6.29054443733847e-6,1.0388089172629265e-5,5.908076300145776e-7,2.954038150072888e-7,9.435816656007704e-6
qNSC,AAV2_MTP,3,3.8657576684746515e-6,3.2124192411673696e-6,2.7592120070892127e-6,2.056043881835984e-6,5.1221986244206e-6
qNSC,AAVJEA2-H1,3,3.1652870073615454e-6,3.841526350324208e-6,1.037551471614324e-6,9.479836670685015e-7,4.3187225797809785e-6
qNSC,AAVAH4-N1,3,3.130639898089965e-6,3.886617549328965e-6,1.2950019475830086e-6,8.984128302801207e-7,4.4450479906463315e-6
qNSC,AAVJEA3-S7,3,3.0748111433953946e-6,2.3696884441993784e-6,1.9551915252296497e-6,1.713788500638566e-6,3.876023977069351e-6
qNSC,AAV8_P2,3,2.8498135777337366e-6,2.0695670675524973e-6,2.9087025635693856e-6,1.8300665263630468e-6,3.899005122022251e-6
qNSC,AAV2_7m8,3,2.7150316409146552e-6,1.168495684058978e-6,2.104956407819958e-6,2.0413990444099944e-6,3.083626620871967e-6
qNSC,AAVrh10_A1,3,2.668094112226014e-6,1.4455524553289397e-6,2.60687413052755e-6,1.9304991842798105e-6,3.3750790493229853e-6
qNSC,AAV9_K3,3,2.5730949059397475e-6,1.2357145326484053e-6,2.8706939542249916e-6,2.0432251687304698e-6,3.2517641672916475e-6
qNSC,AAVAH4-N12,3,2.419723448234136e-6,3.702581528506956e-6,5.770757455368761e-7,2.8853787276843806e-7,3.6295851723512035e-6
qNSC,AAVpo1_P5,3,2.2022796039661074e-6,2.3263422327796618e-7,2.237424439902651e-6,2.0957485199925223e-6,2.3263831059079646e-6
qNSC,AAV3_A6,3,1.818277348381769e-6,3.1493487496488397e-6,0,0,2.7274160225726534e-6
qNSC,AAV6_P4,3,1.4594217786682912e-6,1.933336127951393e-6,3.870305203053887e-7,3.4349271238560773e-7,2.0391552157695232e-6
