AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
AAV1_P5,21,0.12139119343027105,0.020030549218805635,0.12382158695298834,0.11111839046848111,0.13192798273264997
AAV9_A2,21,0.09742025117157566,0.011438048420229552,0.10052764192682039,0.09096828143847567,0.10586834019226253
AAVpo1_P2,21,0.09469302506176411,0.06746245956513408,0.06733455540156208,0.04602226336160604,0.13921428346931516
AAV1_P4,21,0.08358835879300862,0.0243365089459581,0.07981738120606544,0.07504295404654701,0.0858807987248987
AAV7_P4,21,0.07301047428403,0.024221943899588077,0.08084492405901324,0.05231662912276663,0.08923905786318054
AAV6_WT,21,0.05856145122792915,0.021296690054336834,0.052288005179509364,0.04712674634452509,0.06473171062709816
AAVrh10_A2,21,0.03535335239894553,0.008686504032143084,0.03470490566607756,0.029020730893074515,0.039326874020950045
AAV6_P4,21,0.0352768827912588,0.023432273133507108,0.04041854822880617,0.014701532360116258,0.048378885880887276
AAV1_A6,21,0.028780999775887727,0.017929190675218684,0.027450749587733664,0.02011628136070611,0.030582631111377878
AAVrh10_P2,21,0.028639146156390804,0.014999127645647115,0.027250084605171167,0.014510101106816121,0.03839187707616528
AAV7_A2,21,0.027533978544745465,0.00802513713697614,0.027714835543282346,0.023823759931993017,0.033898315671216483
AAV9_P4,21,0.02558998965923502,0.0035537306783815998,0.02548219560348931,0.02367599005753603,0.028232168395272494
AAV1_WT,21,0.024269187853020992,0.0067930937494826565,0.025881875809984432,0.019538317068601808,0.0293851290514214
AAV7_P2,21,0.022048835064239894,0.0071864022752371835,0.022573969349651123,0.016336558603615305,0.024200863591306795
AAV9_A6,21,0.020164855968632982,0.005446790743776972,0.0196291168485027,0.016524671897576677,0.024385424418524954
AAV6_P2,21,0.019678962451351527,0.0776225326515655,3.5352172410075774e-4,0,0.0016664477101162116
AAV1_P2,21,0.019397112731331944,0.04874284035393914,0.0015000256145967896,4.744934318525563e-4,0.008851824207066128
AAV7_A6,21,0.014269102864886463,0.004277155170576786,0.014768150728119349,0.011239723399902462,0.017554854258550155
AAVrh10_P4,21,0.013412180238595509,0.014118882950648169,0.011603016784859121,0.008117308401614398,0.013589325645065296
AAV1_A2,21,0.01231996256289575,0.017727758081707328,0.005228502200562458,0.0015169629099910078,0.010507807211109901
AAVpo1_A2,21,0.010401766177100282,0.027072833880152625,0.003985063584141341,0.0031626215211412257,0.0052020304073291095
AAV7_P5,21,0.010156757956682775,0.003009490293052847,0.009259532914397215,0.008556052336400815,0.011777085172757034
