AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
AAV9_A2,2,0.0946630472028191,0.007534495094156619,0.0946630472028191,0.09199920091587165,0.09732689348976656
AAV7_A2,2,0.07848087822261543,0.008433854056772445,0.07848087822261543,0.07549906052507468,0.08146269592015616
AAV1_P5,2,0.07673090847044253,0.00471773122589454,0.07673090847044253,0.07506293859961975,0.0783988783412653
AAV7_P4,2,0.05858288438626938,0.00471738044438603,0.05858288438626938,0.0569150385354383,0.06025073023710047
AAV7_A6,2,0.054913228872021505,0.005784921757350956,0.054913228872021505,0.05286795017039327,0.05695850757364973
AAV1_P4,2,0.05254296489859561,0.01855682307025075,0.05254296489859561,0.045982137183468975,0.05910379261372224
AAV1_A6,2,0.04945603152474376,0.007088360858066087,0.04945603152474376,0.04694991750962585,0.05196214553986168
AAVrh10_A2,2,0.041938086694175244,0.010218593320173892,0.041938086694175244,0.038325268378733984,0.045550905009616505
AAV1_A2,2,0.03976812507912737,0.008416255248731649,0.03976812507912737,0.03679252949983986,0.042743720658414884
AAV7_P5,2,0.03521017574643814,0.0027893759716012176,0.03521017574643814,0.03422398241403912,0.03619636907883715
AAV1_A1,2,0.031748788546393666,0.00957935453247927,0.031748788546393666,0.028361975271740572,0.03513560182104676
AAV1_P2,2,0.028621887805496928,0.040183918126858356,0.028621887805496928,0.014414727304423641,0.042829048306570215
AAVrh10_A6,2,0.02843097916751477,0.0032745492596503063,0.02843097916751477,0.02727325117410071,0.02958870716092883
AAV9_A6,2,0.026105346180878633,4.3688616894180856e-4,0.026105346180878633,0.025950883594545948,0.026259808767211314
AAV6_WT,2,0.025069959248572027,0.0034363395647768994,0.025069959248572027,0.023855029744215342,0.02628488875292872
AAV5_A2,2,0.023404880354010848,0.0013457738167645804,0.023404880354010848,0.02292907745812208,0.023880683249899615
AAV8_P5,2,0.022883016332113232,0.004326420925472686,0.022883016332113232,0.021353395544778674,0.024412637119447793
AAVrh10_P4,2,0.02098873438871028,0.009297004248307239,0.02098873438871028,0.01770174701436119,0.02427572176305938
AAV7_P2,2,0.018195044796036404,0.004406567131069251,0.018195044796036404,0.016637088045969996,0.019753001546102815
AAV6_P5,2,0.015985097605967346,0.022480807800057522,0.015985097605967346,0.008036931784981294,0.023933263426953396
AAV8_P4,2,0.015317459841666645,0.0020797569803715538,0.015317459841666645,0.014582154709646255,0.016052764973687034
AAV9_P4,2,0.014136691379908126,0.0014052613404210222,0.014136691379908126,0.013639856468332623,0.014633526291483626
AAVrh10_P5,2,0.011986117286190388,3.4654328947562256e-4,0.011986117286190388,0.011863595731208936,0.01210863884117184
AAV5_A6,2,0.010475087035138258,9.452086785506975e-4,0.010475087035138258,0.010140905302018471,0.010809268768258044
AAV8_A6,2,0.009665611787121924,0.0011781151345792587,0.009665611787121924,0.009249085186782177,0.010082138387461671
AAV1_WT,2,0.009576987439169491,0.0026672225508228824,0.009576987439169491,0.00863398186285922,0.010519993015479762
AAV8_A2,2,0.009452788936960263,0.006042173646735333,0.009452788936960263,0.007316557957603659,0.011589019916316865
AAVpo1_A6,2,0.009017770549491667,0.0014553956988106885,0.009017770549491667,0.008503210465522281,0.009532330633461053
AAV6_P2,2,0.008436984996249283,0.011744237142245406,0.008436984996249283,0.00428477013467696,0.012589199857821606
AAVrh10_P2,2,0.008307438231763324,4.1339035265904376e-4,0.008307438231763324,0.008161282670942169,0.008453593792584478
AAV9_P5,2,0.007337731957086161,0.0017408853644126764,0.007337731957086161,0.006722236033863852,0.00795322788030847
AAVpo1_P5,2,0.006803523953618948,0.002040972770091633,0.006803523953618948,0.0060819311106445045,0.007525116796593391
AAV6_A6,2,0.006166497341905258,0.008687832099734614,0.006166497341905258,0.0030948848461390044,0.009238109837671512
AAV8_P2,2,0.005223895285807597,7.155187063728174e-4,0.005223895285807597,0.004970921221136575,0.005476869350478621
AAV2_A2,2,0.004998285599286482,0.0015088705932294784,0.004998285599286482,0.004464819285083715,0.005531751913489249
AAV9_A1,2,0.004705054095641813,4.703836785131348e-4,0.004705054095641813,0.004538748351223758,0.0048713598400598685
AAVpo1_P4,2,0.004240580230074626,0.0010948143513831142,0.004240580230074626,0.00385350490407295,0.004627655556076302
AAVrh10_A1,2,0.004014749714001103,5.902153360604767e-4,0.004014749714001103,0.0038060770807567725,0.004223422347245432
AAVpo1_P2,2,0.0039940708551295615,0.0030654642448090944,0.0039940708551295615,0.002910265577634856,0.005077876132624266
AAV9_P2,2,0.003044624514277023,0.002325961682788778,0.003044624514277023,0.0022222728749370143,0.0038669761536170326
AAV7_A1,2,0.0028157882462165086,6.436039135673577e-4,0.0028157882462165086,0.002588239900375669,0.0030433365920573482
AAV5_P4,2,0.0024064696777758715,2.5734489207882694e-4,0.0024064696777758715,0.002315484518629542,0.002497454836922201
AAV5_P5,2,0.00239070478544803,9.287037801892492e-4,0.00239070478544803,0.0020623584151053306,0.0027190511557907294
AAV8_A1,2,0.0020963716707251777,0.002123904233861371,0.0020963716707251777,0.0013454581275480807,0.002847285213902275
AAV2_WT,2,0.0015001220855188472,3.8340074999419587e-4,0.0015001220855188472,0.0013645694504023952,0.0016356747206352994
AAV2_P2,2,0.0010673546455587852,1.9047177836987157e-4,0.0010673546455587852,0.0010000127025037865,0.0011346965886137837
