celltype,AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
aNSC,AAVpo1_P2,3,0.13030652660032077,0.11676850917799127,0.09905628357243129,0.0656994866471404,0.1792884450395564
aNSC,AAV6_P2,3,0.11892340994721373,0.20573434352380376,2.8531977757597206e-4,1.4265988878798603e-4,0.1783851149208206
aNSC,AAV1_P4,3,0.09778329541608168,0.07107067322152233,0.06292138458227885,0.05689824368215467,0.12123739173310727
aNSC,AAV1_P5,3,0.09679198348727308,0.023560605152047654,0.10467763425473937,0.08748881748289936,0.11003797487537997
aNSC,AAV9_A2,3,0.08835828847424425,0.013662618841844838,0.09096828143847567,0.08227361174795617,0.09574796168264803
aNSC,AAV6_WT,3,0.06688363189807692,0.03179677699221068,0.055722673678674915,0.048947355024748104,0.07923942966170473
aNSC,AAV7_P4,3,0.05020156121390685,0.0173605785946237,0.05290375023866173,0.04227604283850117,0.059478174101689964
aNSC,AAVrh10_A2,3,0.027661363491989777,0.006585378211145311,0.02662124335042803,0.024139592404945884,0.030663074508252796
aNSC,AAV9_P4,3,0.023207366553731186,0.001752143489721868,0.023380228383908495,0.022377713765300563,0.02412345025725046
aNSC,AAV7_A2,3,0.023074822648628934,0.003670982168487461,0.02126843668186719,0.020962741484796987,0.024283710829080006
aNSC,AAV6_P4,3,0.02210523150090239,0.01995891230380342,0.026822144385540453,0.013516255818836309,0.0330526636252875
aNSC,AAV7_P2,3,0.0210388700352611,0.006458221375344616,0.022220900209616593,0.018146089369122733,0.024522665788577216
aNSC,AAV1_P2,3,0.019327633829766766,0.029527231367382525,0.004128640667750689,0.0023123610758837027,0.028743410002641794
aNSC,AAV1_WT,3,0.01883603287754041,0.01110279028132446,0.017277487881918196,0.012936175327417941,0.02395661792985177
aNSC,AAV1_A6,3,0.017700452034446708,0.015507514684394838,0.02206274636132104,0.01127087264496498,0.026311178587365605
aNSC,AAVrh10_P2,3,0.016561983950980217,0.009254953164420175,0.014231328791021125,0.01146323244678393,0.020495407875196957
aNSC,AAV9_A6,3,0.013054273178513869,0.005842141529291489,0.01632885097932779,0.011319073818982464,0.016426761438452234
aNSC,AAV7_A1,3,0.01002285884011831,0.009434901630683726,0.005100632472596889,0.004583794957320066,0.013000809539155844
aNSC,AAV7_A6,3,0.00910263515644363,0.002643123559776496,0.009921084021452137,0.008034091034714214,0.0105804037106773
aNSC,AAVrh10_P4,3,0.00895881710121974,0.0025057672024958446,0.00867220066858117,0.007640441538753843,0.010133884447366352
aNSC,AAV1_A2,3,0.008844519930987577,0.013007718832374919,0.0024821361271172566,0.001362387604181612,0.013145460355858382
aNSC,AAV8_P4,3,0.008410814080595302,0.002064638508917493,0.00831386807228467,0.00735511220390375,0.009418042953131539
aNSC,AAVpo1_A2,3,0.008101682357236229,0.008562316960979626,0.003593195833453805,0.0031644283897131397,0.010784693062868108
