population	serotype	average	Set1	Set2	Set3
qNSC	AAV9_A2	0.36394270286961555	0.4647998743162121	0.327502510927794	0.2995257233648406
qNSC	AAVpo1_A2	0.07277730181092101	5.1361938699118603e-5	0.2076175657598506	0.010662977734213317
qNSC	AAVJEA3-H4	0.07257592045826422	1.0544139183862182e-5	0.20870735303844407	0.009009864197164732
qNSC	AAV7_P5	0.07113419738875794	3.811861156081469e-5	0.11946346149188808	0.09390101206282493
qNSC	AAV9_P4	0.05736352856297848	0.029918126923366616	6.708657751397757e-4	0.14150159299042905
qNSC	AAV2wt	0.04880318597748564	0.14633322311888725	4.196403483475794e-5	3.43707787349109e-5
qNSC	AAV5_A2	0.045785962114617426	7.545371042022585e-5	2.882129565463399e-4	0.13699421967688571
qNSC	AAV4_A1	0.04516446855720391	0.13540737058229882	6.463542411955098e-5	2.1399665193344546e-5
qNSC	AAV4_P5	0.038908671322205976	0.11666085258145202	4.973792107637974e-5	1.542346408951977e-5
qNSC	AAVAH4-N4	0.03101744720467168	0.09300503685302822	3.87731623174069e-5	8.531598669414093e-6
qNSC	AAV7_A6	0.02795955831005302	6.693057437423636e-5	0.08379532357732479	1.642077846003216e-5
qNSC	AAV9_A1	0.018841332767733608	4.153647023289445e-5	3.2708490266632065e-4	0.056155376930301606
qNSC	AAV1_P4	0.01387726234525161	5.528952822502042e-5	0.005258459822142502	0.03631803768538731
qNSC	AAVpo1_A6	0.013749618426077196	4.936975793724037e-5	1.5053990304788172e-4	0.041048945617246466
qNSC	AAV7_P2	0.012483072352065704	0.012494430486563294	1.5041908314439943e-4	0.02480436748648942
qNSC	AAV7_A1	0.009796512381143041	1.5126049862894994e-4	3.195623897974932e-4	0.02891871425500268
qNSC	AAV6shH10	0.009448059802080189	2.146369314216642e-6	0.028329867668815997	1.2165368110354193e-5
qNSC	AAV1_P5	0.009214760224208595	7.03815641936421e-5	3.313033200781311e-4	0.027242595788354012
qNSC	AAV1wt	0.008420825949062667	9.500745064238835e-5	1.9730869751484985e-4	0.02497016169903076
qNSC	AAV1_A1	0.008231734420253097	1.3939682574610024e-6	8.19686209334581e-6	0.024685612430408482
qNSC	AAV7_A2	0.005334305796952212	7.669758681092215e-5	2.5427419266599267e-4	0.01567194561137972
qNSC	AAV7_P4	0.005190028973157342	4.338561472799993e-5	1.6179608493151483e-4	0.015364905219812512
qNSC	AAVrh10_A2	0.0036311527305569365	4.497606538771199e-5	0.010793901327117201	5.458079916589613e-5
qNSC	AAV6wt	0.0035636596731026073	1.0460546906795369e-5	3.5978085093600386e-5	0.010644540387307427
qNSC	AAV9_A6	0.0012151272655664372	8.317256676463239e-5	0.0034729024147081835	8.930681522649546e-5
qNSC	AAV6.2	5.803098240646717e-4	1.1628656931113235e-6	5.858164281220032e-6	0.0017339084422196838
qNSC	AAV5_A6	1.1826546595551741e-4	3.173782782929605e-5	2.2248140489160986e-4	1.005771651456463e-4
qNSC	AAVAH4-N9	8.581236873193356e-5	5.811135105732638e-5	1.579121362122302e-4	4.141361892624409e-5
qNSC	AAV9_P5	8.261191843787091e-5	3.940757134814096e-5	1.6606843791433978e-4	4.235974605113197e-5
qNSC	AAV7wt	6.99487489665454e-5	2.0190696437629054e-5	1.4719434368903352e-4	4.246120677297365e-5
qNSC	AAVB1	6.949938594181436e-5	3.313617234607357e-5	1.326118540518014e-4	4.2750131427568104e-5
qNSC	AAVJEA2-H8	6.329593629464172e-5	1.8992031091263364e-5	1.3991546782022852e-4	3.098030997243327e-5
qNSC	AAV1_A2	4.713671552105302e-5	1.5607981542881226e-5	8.320492778592758e-5	4.2597237234350266e-5
qNSC	AAV4_P4	4.4937813072247774e-5	2.048058171069647e-5	9.122607291152921e-5	2.3106784594517636e-5
qNSC	AAVJEA2-H17	3.359377502713204e-5	2.954366817123233e-5	5.61495633132641e-5	1.5088093596899684e-5
qNSC	AAVJEA2-H11	2.944371363855769e-5	1.7186295547534228e-5	5.225696550409165e-5	1.888787986404719e-5
qNSC	AAV2_A1	2.5686047428911345e-5	5.015090518404646e-6	6.697298961442518e-5	5.070062153904209e-6
qNSC	AAVAH3-5	2.564057931980983e-5	1.3074405129124533e-5	4.6537459102550015e-5	1.730987372775494e-5
