population	serotype	average	Set4	Set5	Set6
EP	AAVJEA2-H2	0	0	0	0
EP	AAVJEA2-S11	0	0	0	0
EP	AAVJEA3-D12	0	0	0	0
EP	AAVJEA3-D16	0	0	0	0
EP	AAVJEA3-D20	0	0	0	0
EP	AAVJEA3-D5	0	0	0	0
EP	AAVJEA3-D7	0	0	0	0
EP	AAVJEA3-H13	0	0	0	0
EP	AAVJEA3-H19	0	0	0	0
EP	AAVJEA3-H20	0	0	0	0
EP	AAVJEA3-H3	0	0	0	0
EP	AAVJEA3-S10	0	0	0	0
EP	AAVJEA3-S2	0	0	0	0
EP	AAVJEA3-S4	0	0	0	0
EP	AAVJEA3-S5	0	0	0	0
EP	AAVLK03	0	0	0	0
EP	AAVM41	0	0	0	0
EP	AAVpo1_A1	0	0	0	0
EP	AAVrh10_P2	0	0	0	0
EP	AAVrh10_P5	0	0	0	0
EP	AAVrh10wt	0	0	0	0
